CatID	RA_06	DEC_06	round(B_06,8)	round(B_06_ERR,8)	round(V_06,8)	round(V_06_ERR,8)	round(R_06,8)	round(R_06_ERR,8)	round(I_MAG_AUTO_06,8)	AUTO_FLAG_06	round(I_06_ERR,8)	round(I_CFHT_06_ERR,8)	round(Z_06,8)	round(Z_06_ERR,8)	Z_BEST	round(RH,8)	round(LOGMASS_06,8)	Z_USE
6226921.00000000	150.40176392	2.17270803	22.64380074	0.02300000	22.15589905	0.01560000	22.07250023	0.01510000	21.75300026	2.00000000	-999.98999023	0.04530000	21.62249947	0.01440000	0.00500000	2.54451609	11.77499962	4.00000000
6227377.00000000	150.50378418	2.15759397	22.94729996	0.02680000	22.72850037	0.02090000	22.72699928	0.02080000	22.39329910	1.00000000	0.02020000	0.08710000	22.56209946	0.02850000	0.00500000	2.45153904	8.44900036	4.00000000
6227474.00000000	150.45071411	2.15386009	22.25979996	0.01930000	21.77370071	0.01300000	21.68790054	0.01260000	21.37779999	2.00000000	-999.98999023	0.02830000	21.20070076	0.01130000	0.00500000	2.42401910	8.50100040	4.00000000
6228624.00000000	150.32118225	2.28485608	22.95109940	0.02660000	22.64039993	0.01960000	22.36000061	0.01720000	20.14179993	1.00000000	0.01440000	0.04800000	21.42889977	0.01260000	0.00500000	-999.99999999	10.07600021	4.00000000
6228867.00000000	150.34140015	2.28103209	20.77000046	0.00960000	20.50760078	0.00720000	20.53680038	0.00750000	20.10790062	2.00000000	-999.98999023	0.01180000	20.18519974	0.00650000	0.00500000	2.56543303	8.42500019	4.00000000
6229076.00000000	150.29760742	2.28204107	21.22929955	0.01190000	20.96890068	0.00890000	20.93339920	0.00880000	20.66379929	2.00000000	-999.98999023	0.01670000	20.59740067	0.00790000	0.00500000	2.72957993	8.70300007	4.00000000
6230687.00000000	150.26150513	2.22422791	22.45820045	0.02110000	22.20969963	0.01600000	22.10000038	0.01520000	21.84460068	2.00000000	-999.98999023	0.04700000	21.83399963	0.01620000	0.00500000	2.61053991	8.35599995	4.00000000
6231067.00000000	150.36503601	2.21799493	24.21899986	0.04920000	23.85490036	0.03590000	23.54520035	0.03070000	22.60390091	1.00000000	0.02870000	0.16210000	23.04229927	0.03480000	0.00500000	6.76243591	9.12300014	4.00000000
6231529.00000000	150.23733521	2.19559789	21.59580040	0.01410000	21.30870056	0.01050000	21.22929955	0.01010000	20.93429947	2.00000000	-999.98999023	0.01880000	20.90329933	0.00950000	0.00500000	2.95876288	-999.98999023	4.00000000
6232994.00000000	150.23318481	2.13149595	22.91530037	0.02620000	22.73080063	0.02070000	22.70269966	0.02040000	22.40159988	1.00000000	0.01940000	0.06840000	22.57620049	0.02660000	0.00500000	2.41317511	8.23799992	4.00000000
6234135.00000000	150.18446350	2.26019192	21.13010025	0.01140000	20.94879913	0.00890000	20.97760010	0.00920000	20.75559998	2.00000000	-999.98999023	0.01390000	20.78409958	0.00900000	0.00500000	2.35408592	8.10599995	4.00000000
